month,service_category,internal_count,internal_total_cost,internal_avg_cost,benchmark_avg_cost,benchmark_equivalent_cost,estimated_cost_avoidance,efficiency_percent,event_reach,event_registrations,event_attendance,qualified_followups,benchmark_total_spend,benchmark_contract_count
2025-06,Facility Utilization,17,154394.0,9082.0,11950.0,203150.0,48756.0,24.0,0,0,0,0,4003250.0,335
2025-07,Rapid Prototyping,10,3543120.0,354312.0,478800.0,4788000.0,1244880.0,26.0,0,0,0,0,46884096.0,96
2025-07,Project Support,30,1881360.0,62712.0,80400.0,2412000.0,530640.0,22.0,0,0,0,0,17491824.0,222
2025-07,Events & Engagement,123,221400.0,1800.0,2500.0,307500.0,86100.0,28.0,4550,786,499,120,4100000.0,1640
2025-07,Facility Utilization,17,156332.0,9196.0,12100.0,205700.0,49368.0,24.0,0,0,0,0,4089800.0,338
2025-08,Rapid Prototyping,10,3556440.0,355644.0,480600.0,4806000.0,1249560.0,26.0,0,0,0,0,47550564.0,97
2025-08,Project Support,31,1953744.0,63024.0,80800.0,2504800.0,551056.0,22.0,0,0,0,0,17737216.0,224
2025-08,Events & Engagement,126,229068.0,1818.0,2525.0,318150.0,89082.0,28.0,4625,797,508,122,4178875.0,1655
2025-08,Facility Utilization,18,167580.0,9310.0,12250.0,220500.0,52920.0,24.0,0,0,0,0,4177250.0,341
2025-09,Rapid Prototyping,11,3926736.0,356976.0,482400.0,5306400.0,1379664.0,26.0,0,0,0,0,48220704.0,98
2025-09,Project Support,32,2026752.0,63336.0,81200.0,2598400.0,571648.0,22.0,0,0,0,0,17984176.0,226
2025-09,Events & Engagement,129,236844.0,1836.0,2550.0,328950.0,92106.0,28.0,4700,808,517,124,4258500.0,1670
2025-09,Facility Utilization,18,169632.0,9424.0,12400.0,223200.0,53568.0,24.0,0,0,0,0,4265600.0,344
2025-10,Rapid Prototyping,11,3941388.0,358308.0,484200.0,5326200.0,1384812.0,26.0,0,0,0,0,48894516.0,99
2025-10,Project Support,33,2100384.0,63648.0,81600.0,2692800.0,592416.0,22.0,0,0,0,0,18232704.0,228
2025-10,Events & Engagement,132,244728.0,1854.0,2575.0,339900.0,95172.0,28.0,4775,819,526,126,4338875.0,1685
2025-10,Facility Utilization,19,181222.0,9538.0,12550.0,238450.0,57228.0,24.0,0,0,0,0,4354850.0,347
2025-11,Rapid Prototyping,12,4315680.0,359640.0,486000.0,5832000.0,1516320.0,26.0,0,0,0,0,49572000.0,100
2025-11,Project Support,34,2174640.0,63960.0,82000.0,2788000.0,613360.0,22.0,0,0,0,0,18482800.0,230
2025-11,Events & Engagement,135,252720.0,1872.0,2600.0,351000.0,98280.0,28.0,4850,830,535,128,4420000.0,1700
2025-11,Facility Utilization,19,183388.0,9652.0,12700.0,241300.0,57912.0,24.0,0,0,0,0,4445000.0,350
2025-12,Rapid Prototyping,12,4331664.0,360972.0,487800.0,5853600.0,1521936.0,26.0,0,0,0,0,50253156.0,101
2025-12,Project Support,35,2249520.0,64272.0,82400.0,2884000.0,634480.0,22.0,0,0,0,0,18734464.0,232
2025-12,Events & Engagement,138,260820.0,1890.0,2625.0,362250.0,101430.0,28.0,4925,841,544,130,4501875.0,1715
2025-12,Facility Utilization,20,195320.0,9766.0,12850.0,257000.0,61680.0,24.0,0,0,0,0,4536050.0,353
